,Iteration,Fitness,FEvals,Time,State,Restarts,max_iters,current_restart
756,0,62.0,430,1.8925341150000037,"[4, 0, 0, 2, 3, 1, 0, 0, 0, 0]",130,100000,12
757,100000,194.0,471,1.976928939000004,"[4, 4, 0, 2, 4, 4, 4, 4, 3, 2]",130,100000,12
758,0,104.0,471,2.053861480000002,"[4, 3, 3, 0, 0, 1, 4, 4, 1, 0]",130,100000,13
759,100000,201.0,501,2.138659323000006,"[4, 3, 3, 4, 3, 3, 4, 4, 3, 1]",130,100000,13
760,0,133.0,501,2.2162513610000047,"[3, 3, 3, 1, 2, 0, 0, 4, 2, 2]",130,100000,14
761,100000,209.0,553,2.302313397000006,"[3, 4, 3, 3, 4, 3, 2, 4, 3, 2]",130,100000,14
762,0,153.0,553,2.377849922000003,"[3, 4, 0, 4, 3, 1, 3, 2, 1, 4]",130,100000,15
763,100000,210.0,578,2.4612990990000014,"[3, 4, 0, 4, 3, 4, 3, 4, 3, 4]",130,100000,15
764,0,111.0,578,2.538763330000002,"[0, 0, 2, 3, 2, 0, 4, 0, 3, 3]",130,100000,16
765,100000,215.0,619,2.625286202000005,"[3, 1, 3, 3, 4, 4, 4, 4, 3, 3]",130,100000,16
766,0,197.0,619,2.7027041380000014,"[2, 4, 1, 3, 3, 3, 2, 4, 3, 4]",130,100000,17
767,100000,207.0,640,2.7871930320000047,"[3, 4, 1, 4, 3, 3, 2, 4, 3, 4]",130,100000,17
768,0,150.0,640,2.866189152000004,"[1, 4, 0, 0, 3, 4, 4, 0, 4, 3]",130,100000,18
769,100000,203.0,674,2.952647730999999,"[2, 4, 0, 3, 3, 4, 4, 3, 4, 4]",130,100000,18
770,0,83.0,674,3.031925405999999,"[4, 0, 2, 2, 1, 2, 0, 2, 0, 0]",130,100000,19
771,100000,208.0,731,3.1265249270000055,"[4, 4, 3, 4, 4, 4, 3, 2, 4, 0]",130,100000,19
772,0,104.0,731,3.205148352000002,"[2, 3, 2, 1, 3, 0, 1, 1, 1, 2]",130,100000,20
773,100000,201.0,784,3.301723456000005,"[4, 4, 4, 4, 3, 4, 4, 2, 1, 2]",130,100000,20
774,0,143.0,784,3.3799563430000035,"[4, 2, 0, 3, 1, 4, 4, 1, 1, 4]",130,100000,21
775,100000,181.0,800,3.4651536120000017,"[4, 2, 3, 3, 1, 4, 4, 3, 1, 4]",130,100000,21
776,0,121.0,800,3.5486157449999993,"[3, 1, 4, 0, 3, 2, 4, 2, 0, 1]",130,100000,22
777,100000,177.0,831,3.6399656390000033,"[4, 4, 4, 2, 3, 2, 4, 2, 3, 1]",130,100000,22
778,0,179.0,831,3.7183208080000014,"[0, 3, 4, 4, 4, 3, 2, 3, 1, 1]",130,100000,23
779,100000,220.0,869,3.811126439000006,"[2, 3, 4, 4, 4, 4, 3, 3, 3, 2]",130,100000,23
780,0,149.0,869,3.893365004000003,"[2, 1, 4, 1, 2, 0, 2, 3, 4, 3]",130,100000,24
781,100000,200.0,900,3.982948800999999,"[3, 1, 4, 4, 3, 2, 2, 3, 4, 3]",130,100000,24
782,0,125.0,900,4.061982652000005,"[3, 4, 4, 2, 0, 1, 1, 1, 1, 3]",130,100000,25
783,100000,161.0,916,4.148304201000002,"[3, 4, 4, 3, 0, 1, 1, 4, 1, 4]",130,100000,25
784,0,96.0,916,4.229654595000007,"[3, 0, 1, 2, 1, 1, 0, 1, 2, 3]",130,100000,26
785,100000,177.0,952,4.32153555,"[3, 4, 2, 4, 1, 2, 0, 3, 4, 3]",130,100000,26
786,0,125.0,952,4.401769725000001,"[4, 1, 0, 2, 2, 1, 3, 3, 4, 1]",130,100000,27
787,100000,218.0,1006,4.500725181,"[4, 1, 4, 4, 4, 4, 4, 3, 4, 1]",130,100000,27
788,0,145.0,1006,4.582844189999996,"[1, 3, 2, 0, 3, 2, 2, 2, 2, 4]",130,100000,28
789,100000,218.0,1056,4.6860069689999975,"[3, 4, 2, 4, 4, 4, 2, 3, 2, 4]",130,100000,28
790,0,154.0,1056,4.766764535,"[3, 2, 2, 1, 4, 3, 1, 1, 2, 3]",130,100000,29
